,soil_moisture_%,soil_pH,pesticide_usage_ml,latitude,longitude,region_le,croptype_le,cropdisease_le,irrigation_type_le,fertilizer_type_le,sowing_month,sowing_season
364,31.07,7.13,24.95,17.638688,81.516187,0,0,0,3,1,3,2
365,39.64,6.87,35.94,19.189989,77.869884,1,2,0,1,2,2,1
366,42.31,6.79,23.05,14.253072,81.344858,2,4,3,3,2,2,1
367,14.15,6.93,10.86,28.167702,73.787263,4,0,0,2,0,1,1
368,44.16,5.97,26.1,19.587386,78.465819,2,1,2,0,2,2,1
369,12.06,6.17,16.41,19.27253,89.361156,2,3,0,0,2,3,2
370,27.63,7.36,10.26,17.025016,77.211844,0,2,1,3,0,1,1
371,28.09,6.37,13.5,14.088874,79.342657,1,1,3,2,2,1,1
372,22.48,6.92,9.21,30.564294,81.264948,2,0,0,0,0,2,1
373,28.41,6.64,17.79,30.92443,73.075509,1,4,3,1,2,3,2
374,30.8,5.51,43.85,11.768102,89.038004,4,1,3,3,2,3,2
375,18.4,7.04,34.12,28.397232,88.433996,0,2,0,2,0,3,2
376,39.12,6.53,39.04,12.323687,80.266829,0,4,0,2,2,2,1
377,28.45,6.79,49.29,17.387041,70.954565,3,0,2,1,2,3,2
378,27.87,6.33,5.73,31.072746,70.905174,1,4,1,0,1,3,2
379,35.34,7.01,13.33,20.844973,70.358304,0,3,2,3,2,3,2
380,26.11,6.31,35.32,13.127237,70.277518,3,0,2,1,1,3,2
381,17.32,6.8,18.54,14.152637,73.048445,3,4,3,3,2,2,1
382,40.09,6.67,33.37,24.466532,84.621571,4,4,2,0,2,3,2
383,27.01,6.68,5.86,26.207507,87.782812,4,0,1,0,1,3,2
384,10.73,6.08,43.41,28.074875,77.807425,4,0,1,1,1,3,2
385,31.76,6.06,40.71,34.981531,77.175735,4,2,0,2,2,2,1
386,11.12,5.63,40.32,31.335204,87.473914,3,3,2,1,0,1,1
387,37.96,7.43,6.89,32.774644,73.140651,2,0,3,0,1,1,1
388,35.64,5.7,39.61,17.168957,73.425236,1,0,3,2,0,1,1
389,15.31,7.01,47.83,21.064467,85.403037,0,2,2,2,0,3,2
390,21.02,7.46,7.6,34.316529,78.386106,2,1,1,3,1,3,2
391,10.28,6.06,33.1,30.295777,82.97514,0,1,1,3,1,3,2
392,28.81,6.28,28.03,10.585544,87.806387,2,4,1,3,2,2,1
393,35.43,7.47,7.15,10.130335,76.779606,3,1,0,1,2,3,2
394,19.96,7.07,19.75,12.449696,84.232808,0,1,2,3,2,3,2
395,24.87,5.76,31.29,28.292924,78.338447,2,4,0,2,0,3,2
396,14.53,6.91,21.62,19.239649,75.791812,4,0,2,3,1,1,1
397,44.69,6.11,45.01,13.058198,76.972979,0,1,3,0,0,1,1
398,20.84,6.4,27.71,31.658639,76.504326,4,3,3,3,2,2,1
399,41.51,6.18,36.82,24.026109,72.475632,4,2,0,0,2,3,2
400,30.19,5.61,47.13,30.742264,86.778349,1,3,2,0,1,1,1
401,21.22,6.68,19.28,14.2039,72.880685,1,3,2,0,1,2,1
402,43.33,6.86,9.44,33.539438,87.99003,3,1,0,1,0,1,1
403,18.28,6.52,26.79,16.728993,89.269494,1,3,0,2,2,2,1
404,20.66,6.31,49.34,21.29355,70.020021,1,2,1,1,1,1,1
405,12.11,7.34,42.83,11.74838,71.794302,3,4,0,3,1,2,1
406,40.74,5.92,25.37,33.974817,76.569145,1,1,0,1,1,1,1
407,26.68,7.3,8.65,21.129419,72.468312,2,3,3,2,1,3,2
408,23.54,7.18,5.42,14.787792,86.325616,1,1,0,3,0,3,2
409,43.86,5.57,44.15,26.495961,81.314141,3,0,0,2,2,3,2
410,14.49,5.63,43.15,27.017009,87.662039,2,3,3,1,2,1,1
411,25.14,7.49,15.1,19.796472,76.694116,2,1,2,0,1,2,1
412,43.52,7.33,24.44,31.01269,74.943071,3,0,1,0,0,1,1
413,28.19,5.97,10.62,27.334092,85.652925,2,1,3,2,1,1,1
414,31.38,6.36,32.78,21.335281,79.284182,2,1,2,2,2,2,1
415,25.89,6.16,10.67,25.521272,73.718468,0,4,2,3,1,3,2
416,20.91,6.37,26.13,22.942015,83.153536,2,2,0,3,2,3,2
417,40.05,6.34,35.05,31.300217,81.321938,1,3,1,1,2,3,2
418,15.68,6.41,15.36,33.814706,76.630302,4,1,0,3,1,3,2
419,38.91,5.51,33.41,14.353665,87.707645,4,2,1,2,2,2,1
420,16.25,5.54,40.43,16.003748,86.189755,1,2,3,2,1,1,1
421,15.06,7.35,16.0,29.739695,76.553612,2,4,1,2,1,1,1
422,43.89,7.27,27.89,21.606682,76.436463,3,3,3,0,2,3,2
423,19.39,6.3,43.84,24.28426,88.709978,4,0,2,3,0,2,1
424,20.33,6.54,24.46,10.617955,78.83377,3,4,2,2,0,2,1
425,20.31,6.5,21.21,16.250591,84.904227,0,4,1,0,2,3,2
426,44.93,7.5,42.0,21.8001,80.252939,3,3,0,1,0,2,1
427,17.94,7.0,40.64,20.442197,78.773616,4,2,2,2,0,2,1
428,30.21,5.76,23.86,23.4401,76.52159,0,2,2,1,2,3,2
429,44.2,7.49,14.19,12.715959,81.3903,3,2,1,2,0,2,1
430,13.65,6.61,17.77,11.43633,80.370634,2,2,3,0,0,1,1
431,44.64,5.76,44.17,13.969531,81.501828,4,2,0,3,2,2,1
432,19.64,5.51,44.57,17.197795,87.619881,1,0,1,1,1,2,1
433,38.82,7.2,13.25,15.992381,87.410792,4,3,1,2,1,3,2
434,41.81,6.32,25.29,11.829887,83.889714,2,2,3,1,0,2,1
435,39.95,6.29,25.76,13.506394,86.408534,0,0,0,2,0,1,1
436,13.52,6.09,24.83,21.051454,70.95512,2,3,2,1,2,1,1
437,25.54,6.7,9.11,26.998988,71.26343,4,1,2,3,2,2,1
438,11.54,6.53,10.44,20.053487,76.324804,3,2,3,2,0,1,1
439,33.03,6.06,37.06,18.108857,82.617478,3,4,0,2,2,3,2
440,32.24,7.27,28.0,15.815148,82.326973,0,2,1,2,0,3,2
441,36.5,6.74,6.71,13.356675,76.350773,3,0,2,3,1,3,2
442,32.68,6.08,49.48,23.036798,73.670909,1,0,2,0,1,3,2
443,43.38,5.6,27.83,14.938407,78.480336,4,4,1,3,2,2,1
444,25.69,6.77,12.55,29.008112,86.392076,0,3,2,2,0,2,1
445,39.89,7.02,25.86,11.798491,72.733127,4,0,0,1,0,2,1
446,10.45,6.5,27.03,34.811812,72.48955,3,4,0,1,0,3,2
447,43.5,7.04,7.6,10.862689,86.262528,3,0,2,1,1,2,1
448,31.19,7.39,10.25,27.651744,89.482912,3,1,0,3,2,1,1
449,39.04,6.01,23.52,29.417278,76.887856,4,2,0,1,1,3,2
450,10.22,5.84,17.98,13.358302,79.729425,4,1,2,2,1,2,1
451,38.5,5.87,33.21,17.32814,77.554571,4,3,1,2,0,3,2
452,18.22,6.47,14.5,33.30321,79.464636,2,3,3,0,2,1,1
453,33.87,6.19,44.29,28.130505,87.759411,0,1,2,0,0,1,1
454,43.29,7.0,13.46,31.835862,89.391952,1,1,3,2,1,3,2
455,26.96,6.98,43.57,27.798549,87.397174,3,3,2,2,1,1,1
456,37.89,6.1,26.7,33.605247,83.99818,3,0,2,2,2,3,2
457,41.59,7.03,11.11,31.798515,88.635599,3,1,2,0,1,3,2
458,41.86,6.99,15.06,28.51453,88.744213,0,0,2,2,2,1,1
459,14.46,6.13,49.09,13.157684,83.274856,1,1,2,3,0,2,1
460,28.84,6.42,32.07,24.972008,76.177829,4,4,2,2,2,1,1
461,26.74,7.16,42.25,27.510185,71.051326,0,3,0,1,2,1,1
462,20.47,7.13,26.3,28.168865,75.647282,4,0,3,2,1,2,1
463,21.32,7.08,11.19,15.453412,84.96765,2,2,2,3,1,3,2
464,13.57,7.07,9.32,26.252445,81.867848,0,3,3,3,2,2,1
465,14.16,6.29,43.92,19.183076,72.400008,3,4,3,0,0,3,2
466,10.81,6.65,26.79,12.486031,71.269966,1,2,0,3,0,3,2
467,23.78,7.13,48.46,10.1331,78.944658,4,4,2,0,2,1,1
468,17.22,5.82,48.48,17.514999,88.924292,3,3,1,1,0,1,1
469,14.89,6.48,9.46,31.402129,74.304259,1,0,0,3,1,1,1
470,19.71,6.96,25.52,23.397608,71.411161,1,1,0,3,0,2,1
471,33.01,7.14,6.17,12.749753,80.967376,0,3,2,2,0,3,2
472,37.23,5.79,47.83,24.720676,86.135963,0,1,1,3,0,1,1
473,29.3,6.71,35.5,21.921547,72.551444,1,1,0,1,1,3,2
474,23.26,6.97,32.39,29.961722,80.044585,3,2,3,3,1,3,2
475,20.68,7.22,37.85,17.146272,88.59178,1,2,2,0,2,1,1
476,42.64,5.77,5.63,27.564793,84.993359,4,3,2,0,0,1,1
477,43.76,6.85,20.9,34.24321,76.759172,1,0,2,3,1,1,1
478,26.91,6.03,45.16,18.213795,77.077855,0,1,0,0,0,2,1
479,10.31,6.36,12.0,17.482124,78.566829,4,1,1,2,2,3,2
480,32.97,6.38,13.53,32.524945,73.20625,2,0,3,3,2,1,1
481,24.74,6.6,37.67,33.941965,85.854259,0,4,1,2,1,3,2
482,36.86,5.97,18.03,28.231214,73.737205,1,4,2,2,0,2,1
483,33.32,6.36,49.66,13.307395,70.767329,0,2,0,3,2,3,2
484,31.58,5.68,20.13,17.60725,75.384922,4,4,1,3,2,2,1
485,21.19,5.6,45.88,19.089531,76.087134,4,2,2,2,0,1,1
486,21.59,6.98,31.29,13.008859,81.731229,1,2,0,1,2,1,1
487,42.39,5.65,37.43,16.313138,87.541507,3,0,1,3,1,1,1
488,32.05,5.73,31.96,11.519835,89.44948,0,0,3,0,2,3,2
489,40.46,7.44,17.22,27.418044,87.5831,4,3,3,2,1,1,1
490,19.06,7.2,6.76,26.060328,74.980161,1,3,2,3,0,1,1
491,32.14,7.44,45.43,30.598295,74.385592,2,1,0,3,0,2,1
492,28.81,7.46,16.58,15.515976,75.37587,0,4,3,2,1,3,2
493,18.11,6.95,13.5,17.754006,87.705061,3,0,0,3,2,2,1
494,12.52,5.99,9.49,30.762928,88.693555,2,2,2,0,1,2,1
495,42.85,6.7,8.82,30.386623,76.1477,0,2,0,1,1,1,1
496,34.22,6.75,5.05,18.832748,75.736924,2,3,3,2,2,1,1
497,15.93,5.72,46.55,23.262016,81.99223,2,0,0,0,0,1,1
498,38.61,6.2,43.78,19.764989,84.426869,0,3,3,0,2,1,1
499,30.22,7.42,19.37,13.455532,88.880605,2,4,3,2,0,2,1
