,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area_ISO3
7605,"Rice, paddy",1995,2274.0,2658.0,21.96,ECU
7606,"Rice, paddy",1995,2274.0,2658.0,17.7,ECU
7607,"Rice, paddy",1995,2274.0,2658.0,22.19,ECU
7608,Sorghum,1995,2274.0,2658.0,21.96,ECU
7609,Sorghum,1995,2274.0,2658.0,17.7,ECU
7610,Sorghum,1995,2274.0,2658.0,22.19,ECU
7611,Soybeans,1995,2274.0,2658.0,21.96,ECU
7612,Soybeans,1995,2274.0,2658.0,17.7,ECU
7613,Soybeans,1995,2274.0,2658.0,22.19,ECU
7614,Sweet potatoes,1995,2274.0,2658.0,21.96,ECU
7615,Sweet potatoes,1995,2274.0,2658.0,17.7,ECU
7616,Sweet potatoes,1995,2274.0,2658.0,22.19,ECU
7617,Wheat,1995,2274.0,2658.0,21.96,ECU
7618,Wheat,1995,2274.0,2658.0,17.7,ECU
7619,Wheat,1995,2274.0,2658.0,22.19,ECU
7620,Cassava,1996,2274.0,2407.0,21.34,ECU
7621,Cassava,1996,2274.0,2407.0,17.23,ECU
7622,Cassava,1996,2274.0,2407.0,21.69,ECU
7623,Maize,1996,2274.0,2407.0,21.34,ECU
7624,Maize,1996,2274.0,2407.0,17.23,ECU
7625,Maize,1996,2274.0,2407.0,21.69,ECU
7626,Plantains and others,1996,2274.0,2407.0,21.34,ECU
7627,Plantains and others,1996,2274.0,2407.0,17.23,ECU
7628,Plantains and others,1996,2274.0,2407.0,21.69,ECU
7629,Potatoes,1996,2274.0,2407.0,21.34,ECU
7630,Potatoes,1996,2274.0,2407.0,17.23,ECU
7631,Potatoes,1996,2274.0,2407.0,21.69,ECU
7632,"Rice, paddy",1996,2274.0,2407.0,21.34,ECU
7633,"Rice, paddy",1996,2274.0,2407.0,17.23,ECU
7634,"Rice, paddy",1996,2274.0,2407.0,21.69,ECU
7635,Sorghum,1996,2274.0,2407.0,21.34,ECU
7636,Sorghum,1996,2274.0,2407.0,17.23,ECU
7637,Sorghum,1996,2274.0,2407.0,21.69,ECU
7638,Soybeans,1996,2274.0,2407.0,21.34,ECU
7639,Soybeans,1996,2274.0,2407.0,17.23,ECU
7640,Soybeans,1996,2274.0,2407.0,21.69,ECU
7641,Sweet potatoes,1996,2274.0,2407.0,21.34,ECU
7642,Sweet potatoes,1996,2274.0,2407.0,17.23,ECU
7643,Sweet potatoes,1996,2274.0,2407.0,21.69,ECU
7644,Wheat,1996,2274.0,2407.0,21.34,ECU
7645,Wheat,1996,2274.0,2407.0,17.23,ECU
7646,Wheat,1996,2274.0,2407.0,21.69,ECU
7647,Cassava,1997,2274.0,7612.0,22.88,ECU
7648,Cassava,1997,2274.0,7612.0,17.82,ECU
7649,Cassava,1997,2274.0,7612.0,23.0,ECU
7650,Maize,1997,2274.0,7612.0,22.88,ECU
7651,Maize,1997,2274.0,7612.0,17.82,ECU
7652,Maize,1997,2274.0,7612.0,23.0,ECU
7653,Plantains and others,1997,2274.0,7612.0,22.88,ECU
7654,Plantains and others,1997,2274.0,7612.0,17.82,ECU
7655,Plantains and others,1997,2274.0,7612.0,23.0,ECU
7656,Potatoes,1997,2274.0,7612.0,22.88,ECU
7657,Potatoes,1997,2274.0,7612.0,17.82,ECU
7658,Potatoes,1997,2274.0,7612.0,23.0,ECU
7659,"Rice, paddy",1997,2274.0,7612.0,22.88,ECU
7660,"Rice, paddy",1997,2274.0,7612.0,17.82,ECU
7661,"Rice, paddy",1997,2274.0,7612.0,23.0,ECU
7662,Sorghum,1997,2274.0,7612.0,22.88,ECU
7663,Sorghum,1997,2274.0,7612.0,17.82,ECU
7664,Sorghum,1997,2274.0,7612.0,23.0,ECU
7665,Soybeans,1997,2274.0,7612.0,22.88,ECU
7666,Soybeans,1997,2274.0,7612.0,17.82,ECU
7667,Soybeans,1997,2274.0,7612.0,23.0,ECU
7668,Sweet potatoes,1997,2274.0,7612.0,22.88,ECU
7669,Sweet potatoes,1997,2274.0,7612.0,17.82,ECU
7670,Sweet potatoes,1997,2274.0,7612.0,23.0,ECU
7671,Wheat,1997,2274.0,7612.0,22.88,ECU
7672,Wheat,1997,2274.0,7612.0,17.82,ECU
7673,Wheat,1997,2274.0,7612.0,23.0,ECU
7674,Cassava,1998,2274.0,21500.0,22.59,ECU
7675,Cassava,1998,2274.0,21500.0,18.12,ECU
7676,Cassava,1998,2274.0,21500.0,22.72,ECU
7677,Maize,1998,2274.0,21500.0,22.59,ECU
7678,Maize,1998,2274.0,21500.0,18.12,ECU
7679,Maize,1998,2274.0,21500.0,22.72,ECU
7680,Plantains and others,1998,2274.0,21500.0,22.59,ECU
7681,Plantains and others,1998,2274.0,21500.0,18.12,ECU
7682,Plantains and others,1998,2274.0,21500.0,22.72,ECU
7683,Potatoes,1998,2274.0,21500.0,22.59,ECU
7684,Potatoes,1998,2274.0,21500.0,18.12,ECU
7685,Potatoes,1998,2274.0,21500.0,22.72,ECU
7686,"Rice, paddy",1998,2274.0,21500.0,22.59,ECU
7687,"Rice, paddy",1998,2274.0,21500.0,18.12,ECU
7688,"Rice, paddy",1998,2274.0,21500.0,22.72,ECU
7689,Sorghum,1998,2274.0,21500.0,22.59,ECU
7690,Sorghum,1998,2274.0,21500.0,18.12,ECU
7691,Sorghum,1998,2274.0,21500.0,22.72,ECU
7692,Soybeans,1998,2274.0,21500.0,22.59,ECU
7693,Soybeans,1998,2274.0,21500.0,18.12,ECU
7694,Soybeans,1998,2274.0,21500.0,22.72,ECU
7695,Sweet potatoes,1998,2274.0,21500.0,22.59,ECU
7696,Sweet potatoes,1998,2274.0,21500.0,18.12,ECU
7697,Sweet potatoes,1998,2274.0,21500.0,22.72,ECU
7698,Wheat,1998,2274.0,21500.0,22.59,ECU
7699,Wheat,1998,2274.0,21500.0,18.12,ECU
7700,Wheat,1998,2274.0,21500.0,22.72,ECU
7701,Cassava,1999,2274.0,14216.0,21.21,ECU
7702,Cassava,1999,2274.0,14216.0,17.02,ECU
7703,Cassava,1999,2274.0,14216.0,21.43,ECU
7704,Maize,1999,2274.0,14216.0,21.21,ECU
7705,Maize,1999,2274.0,14216.0,17.02,ECU
7706,Maize,1999,2274.0,14216.0,21.43,ECU
7707,Plantains and others,1999,2274.0,14216.0,21.21,ECU
7708,Plantains and others,1999,2274.0,14216.0,17.02,ECU
7709,Plantains and others,1999,2274.0,14216.0,21.43,ECU
7710,Potatoes,1999,2274.0,14216.0,21.21,ECU
7711,Potatoes,1999,2274.0,14216.0,17.02,ECU
7712,Potatoes,1999,2274.0,14216.0,21.43,ECU
7713,"Rice, paddy",1999,2274.0,14216.0,21.21,ECU
7714,"Rice, paddy",1999,2274.0,14216.0,17.02,ECU
7715,"Rice, paddy",1999,2274.0,14216.0,21.43,ECU
7716,Sorghum,1999,2274.0,14216.0,21.21,ECU
7717,Sorghum,1999,2274.0,14216.0,17.02,ECU
7718,Sorghum,1999,2274.0,14216.0,21.43,ECU
7719,Soybeans,1999,2274.0,14216.0,21.21,ECU
7720,Soybeans,1999,2274.0,14216.0,17.02,ECU
7721,Soybeans,1999,2274.0,14216.0,21.43,ECU
7722,Sweet potatoes,1999,2274.0,14216.0,21.21,ECU
7723,Sweet potatoes,1999,2274.0,14216.0,17.02,ECU
7724,Sweet potatoes,1999,2274.0,14216.0,21.43,ECU
7725,Wheat,1999,2274.0,14216.0,21.21,ECU
7726,Wheat,1999,2274.0,14216.0,17.02,ECU
7727,Wheat,1999,2274.0,14216.0,21.43,ECU
7728,Cassava,2000,2274.0,17948.0,21.34,ECU
7729,Cassava,2000,2274.0,17948.0,17.06,ECU
7730,Cassava,2000,2274.0,17948.0,21.46,ECU
7731,Maize,2000,2274.0,17948.0,21.34,ECU
7732,Maize,2000,2274.0,17948.0,17.06,ECU
7733,Maize,2000,2274.0,17948.0,21.46,ECU
7734,Plantains and others,2000,2274.0,17948.0,21.34,ECU
7735,Plantains and others,2000,2274.0,17948.0,17.06,ECU
7736,Plantains and others,2000,2274.0,17948.0,21.46,ECU
7737,Potatoes,2000,2274.0,17948.0,21.34,ECU
7738,Potatoes,2000,2274.0,17948.0,17.06,ECU
7739,Potatoes,2000,2274.0,17948.0,21.46,ECU
7740,"Rice, paddy",2000,2274.0,17948.0,21.34,ECU
7741,"Rice, paddy",2000,2274.0,17948.0,17.06,ECU
7742,"Rice, paddy",2000,2274.0,17948.0,21.46,ECU
7743,Sorghum,2000,2274.0,17948.0,21.34,ECU
7744,Sorghum,2000,2274.0,17948.0,17.06,ECU
7745,Sorghum,2000,2274.0,17948.0,21.46,ECU
7746,Soybeans,2000,2274.0,17948.0,21.34,ECU
7747,Soybeans,2000,2274.0,17948.0,17.06,ECU
7748,Soybeans,2000,2274.0,17948.0,21.46,ECU
7749,Sweet potatoes,2000,2274.0,17948.0,21.34,ECU
7750,Sweet potatoes,2000,2274.0,17948.0,17.06,ECU
7751,Sweet potatoes,2000,2274.0,17948.0,21.46,ECU
7752,Wheat,2000,2274.0,17948.0,21.34,ECU
7753,Wheat,2000,2274.0,17948.0,17.06,ECU
7754,Wheat,2000,2274.0,17948.0,21.46,ECU
7755,Cassava,2001,2274.0,7344.0,21.51,ECU
7756,Cassava,2001,2274.0,7344.0,17.39,ECU
7757,Cassava,2001,2274.0,7344.0,21.88,ECU
7758,Maize,2001,2274.0,7344.0,21.51,ECU
7759,Maize,2001,2274.0,7344.0,17.39,ECU
7760,Maize,2001,2274.0,7344.0,21.88,ECU
7761,Plantains and others,2001,2274.0,7344.0,21.51,ECU
7762,Plantains and others,2001,2274.0,7344.0,17.39,ECU
7763,Plantains and others,2001,2274.0,7344.0,21.88,ECU
7764,Potatoes,2001,2274.0,7344.0,21.51,ECU
7765,Potatoes,2001,2274.0,7344.0,17.39,ECU
7766,Potatoes,2001,2274.0,7344.0,21.88,ECU
7767,"Rice, paddy",2001,2274.0,7344.0,21.51,ECU
7768,"Rice, paddy",2001,2274.0,7344.0,17.39,ECU
7769,"Rice, paddy",2001,2274.0,7344.0,21.88,ECU
7770,Sorghum,2001,2274.0,7344.0,21.51,ECU
7771,Sorghum,2001,2274.0,7344.0,17.39,ECU
7772,Sorghum,2001,2274.0,7344.0,21.88,ECU
7773,Soybeans,2001,2274.0,7344.0,21.51,ECU
7774,Soybeans,2001,2274.0,7344.0,17.39,ECU
7775,Soybeans,2001,2274.0,7344.0,21.88,ECU
7776,Sweet potatoes,2001,2274.0,7344.0,21.51,ECU
7777,Sweet potatoes,2001,2274.0,7344.0,17.39,ECU
7778,Sweet potatoes,2001,2274.0,7344.0,21.88,ECU
7779,Wheat,2001,2274.0,7344.0,21.51,ECU
7780,Wheat,2001,2274.0,7344.0,17.39,ECU
7781,Wheat,2001,2274.0,7344.0,21.88,ECU
7782,Cassava,2002,2274.0,1302.49,22.23,ECU
7783,Cassava,2002,2274.0,1302.49,17.78,ECU
7784,Cassava,2002,2274.0,1302.49,22.47,ECU
7785,Maize,2002,2274.0,1302.49,22.23,ECU
7786,Maize,2002,2274.0,1302.49,17.78,ECU
7787,Maize,2002,2274.0,1302.49,22.47,ECU
7788,Plantains and others,2002,2274.0,1302.49,22.23,ECU
7789,Plantains and others,2002,2274.0,1302.49,17.78,ECU
7790,Plantains and others,2002,2274.0,1302.49,22.47,ECU
7791,Potatoes,2002,2274.0,1302.49,22.23,ECU
7792,Potatoes,2002,2274.0,1302.49,17.78,ECU
7793,Potatoes,2002,2274.0,1302.49,22.47,ECU
7794,"Rice, paddy",2002,2274.0,1302.49,22.23,ECU
7795,"Rice, paddy",2002,2274.0,1302.49,17.78,ECU
7796,"Rice, paddy",2002,2274.0,1302.49,22.47,ECU
7797,Sorghum,2002,2274.0,1302.49,22.23,ECU
7798,Sorghum,2002,2274.0,1302.49,17.78,ECU
7799,Sorghum,2002,2274.0,1302.49,22.47,ECU
7800,Soybeans,2002,2274.0,1302.49,22.23,ECU
7801,Soybeans,2002,2274.0,1302.49,17.78,ECU
7802,Soybeans,2002,2274.0,1302.49,22.47,ECU
7803,Sweet potatoes,2002,2274.0,1302.49,22.23,ECU
7804,Sweet potatoes,2002,2274.0,1302.49,17.78,ECU
7805,Sweet potatoes,2002,2274.0,1302.49,22.47,ECU
7806,Wheat,2002,2274.0,1302.49,22.23,ECU
7807,Wheat,2002,2274.0,1302.49,17.78,ECU
7808,Wheat,2002,2274.0,1302.49,22.47,ECU
7809,Cassava,2004,2274.0,29799.84,22.04,ECU
7810,Cassava,2004,2274.0,29799.84,17.73,ECU
7811,Cassava,2004,2274.0,29799.84,22.33,ECU
7812,Maize,2004,2274.0,29799.84,22.04,ECU
7813,Maize,2004,2274.0,29799.84,17.73,ECU
7814,Maize,2004,2274.0,29799.84,22.33,ECU
7815,Plantains and others,2004,2274.0,29799.84,22.04,ECU
7816,Plantains and others,2004,2274.0,29799.84,17.73,ECU
7817,Plantains and others,2004,2274.0,29799.84,22.33,ECU
7818,Potatoes,2004,2274.0,29799.84,22.04,ECU
7819,Potatoes,2004,2274.0,29799.84,17.73,ECU
7820,Potatoes,2004,2274.0,29799.84,22.33,ECU
7821,"Rice, paddy",2004,2274.0,29799.84,22.04,ECU
7822,"Rice, paddy",2004,2274.0,29799.84,17.73,ECU
7823,"Rice, paddy",2004,2274.0,29799.84,22.33,ECU
7824,Sorghum,2004,2274.0,29799.84,22.04,ECU
7825,Sorghum,2004,2274.0,29799.84,17.73,ECU
7826,Sorghum,2004,2274.0,29799.84,22.33,ECU
7827,Soybeans,2004,2274.0,29799.84,22.04,ECU
7828,Soybeans,2004,2274.0,29799.84,17.73,ECU
7829,Soybeans,2004,2274.0,29799.84,22.33,ECU
7830,Sweet potatoes,2004,2274.0,29799.84,22.04,ECU
7831,Sweet potatoes,2004,2274.0,29799.84,17.73,ECU
7832,Sweet potatoes,2004,2274.0,29799.84,22.33,ECU
7833,Wheat,2004,2274.0,29799.84,22.04,ECU
7834,Wheat,2004,2274.0,29799.84,17.73,ECU
7835,Wheat,2004,2274.0,29799.84,22.33,ECU
7836,Cassava,2005,2274.0,18391.23,21.82,ECU
7837,Cassava,2005,2274.0,18391.23,17.67,ECU
7838,Cassava,2005,2274.0,18391.23,22.21,ECU
7839,Maize,2005,2274.0,18391.23,21.82,ECU
7840,Maize,2005,2274.0,18391.23,17.67,ECU
7841,Maize,2005,2274.0,18391.23,22.21,ECU
7842,Plantains and others,2005,2274.0,18391.23,21.82,ECU
7843,Plantains and others,2005,2274.0,18391.23,17.67,ECU
7844,Plantains and others,2005,2274.0,18391.23,22.21,ECU
7845,Potatoes,2005,2274.0,18391.23,21.82,ECU
7846,Potatoes,2005,2274.0,18391.23,17.67,ECU
7847,Potatoes,2005,2274.0,18391.23,22.21,ECU
7848,"Rice, paddy",2005,2274.0,18391.23,21.82,ECU
7849,"Rice, paddy",2005,2274.0,18391.23,17.67,ECU
7850,"Rice, paddy",2005,2274.0,18391.23,22.21,ECU
7851,Sorghum,2005,2274.0,18391.23,21.82,ECU
7852,Sorghum,2005,2274.0,18391.23,17.67,ECU
7853,Sorghum,2005,2274.0,18391.23,22.21,ECU
7854,Soybeans,2005,2274.0,18391.23,21.82,ECU
7855,Soybeans,2005,2274.0,18391.23,17.67,ECU
7856,Soybeans,2005,2274.0,18391.23,22.21,ECU
7857,Sweet potatoes,2005,2274.0,18391.23,21.82,ECU
7858,Sweet potatoes,2005,2274.0,18391.23,17.67,ECU
7859,Sweet potatoes,2005,2274.0,18391.23,22.21,ECU
7860,Wheat,2005,2274.0,18391.23,21.82,ECU
7861,Wheat,2005,2274.0,18391.23,17.67,ECU
7862,Wheat,2005,2274.0,18391.23,22.21,ECU
7863,Cassava,2006,2274.0,7953.42,22.09,ECU
7864,Cassava,2006,2274.0,7953.42,17.6,ECU
7865,Cassava,2006,2274.0,7953.42,22.31,ECU
7866,Maize,2006,2274.0,7953.42,22.09,ECU
7867,Maize,2006,2274.0,7953.42,17.6,ECU
7868,Maize,2006,2274.0,7953.42,22.31,ECU
7869,Plantains and others,2006,2274.0,7953.42,22.09,ECU
7870,Plantains and others,2006,2274.0,7953.42,17.6,ECU
7871,Plantains and others,2006,2274.0,7953.42,22.31,ECU
7872,Potatoes,2006,2274.0,7953.42,22.09,ECU
7873,Potatoes,2006,2274.0,7953.42,17.6,ECU
7874,Potatoes,2006,2274.0,7953.42,22.31,ECU
7875,"Rice, paddy",2006,2274.0,7953.42,22.09,ECU
7876,"Rice, paddy",2006,2274.0,7953.42,17.6,ECU
7877,"Rice, paddy",2006,2274.0,7953.42,22.31,ECU
7878,Sorghum,2006,2274.0,7953.42,22.09,ECU
7879,Sorghum,2006,2274.0,7953.42,17.6,ECU
7880,Sorghum,2006,2274.0,7953.42,22.31,ECU
7881,Soybeans,2006,2274.0,7953.42,22.09,ECU
7882,Soybeans,2006,2274.0,7953.42,17.6,ECU
7883,Soybeans,2006,2274.0,7953.42,22.31,ECU
7884,Sweet potatoes,2006,2274.0,7953.42,22.09,ECU
7885,Sweet potatoes,2006,2274.0,7953.42,17.6,ECU
7886,Sweet potatoes,2006,2274.0,7953.42,22.31,ECU
7887,Wheat,2006,2274.0,7953.42,22.09,ECU
7888,Wheat,2006,2274.0,7953.42,17.6,ECU
7889,Wheat,2006,2274.0,7953.42,22.31,ECU
7890,Cassava,2007,2274.0,14156.16,21.68,ECU
7891,Cassava,2007,2274.0,14156.16,17.44,ECU
7892,Cassava,2007,2274.0,14156.16,21.99,ECU
7893,Maize,2007,2274.0,14156.16,21.68,ECU
7894,Maize,2007,2274.0,14156.16,17.44,ECU
7895,Maize,2007,2274.0,14156.16,21.99,ECU
7896,Plantains and others,2007,2274.0,14156.16,21.68,ECU
7897,Plantains and others,2007,2274.0,14156.16,17.44,ECU
7898,Plantains and others,2007,2274.0,14156.16,21.99,ECU
7899,Potatoes,2007,2274.0,14156.16,21.68,ECU
7900,Potatoes,2007,2274.0,14156.16,17.44,ECU
7901,Potatoes,2007,2274.0,14156.16,21.99,ECU
7902,"Rice, paddy",2007,2274.0,14156.16,21.68,ECU
7903,"Rice, paddy",2007,2274.0,14156.16,17.44,ECU
7904,"Rice, paddy",2007,2274.0,14156.16,21.99,ECU
7905,Sorghum,2007,2274.0,14156.16,21.68,ECU
7906,Sorghum,2007,2274.0,14156.16,17.44,ECU
7907,Sorghum,2007,2274.0,14156.16,21.99,ECU
7908,Soybeans,2007,2274.0,14156.16,21.68,ECU
7909,Soybeans,2007,2274.0,14156.16,17.44,ECU
7910,Soybeans,2007,2274.0,14156.16,21.99,ECU
7911,Sweet potatoes,2007,2274.0,14156.16,21.68,ECU
7912,Sweet potatoes,2007,2274.0,14156.16,17.44,ECU
7913,Sweet potatoes,2007,2274.0,14156.16,21.99,ECU
7914,Wheat,2007,2274.0,14156.16,21.68,ECU
7915,Wheat,2007,2274.0,14156.16,17.44,ECU
7916,Wheat,2007,2274.0,14156.16,21.99,ECU
7917,Cassava,2008,2274.0,15396.14,21.72,ECU
7918,Cassava,2008,2274.0,15396.14,17.16,ECU
7919,Cassava,2008,2274.0,15396.14,21.89,ECU
7920,Maize,2008,2274.0,15396.14,21.72,ECU
7921,Maize,2008,2274.0,15396.14,17.16,ECU
7922,Maize,2008,2274.0,15396.14,21.89,ECU
7923,Plantains and others,2008,2274.0,15396.14,21.72,ECU
7924,Plantains and others,2008,2274.0,15396.14,17.16,ECU
7925,Plantains and others,2008,2274.0,15396.14,21.89,ECU
7926,Potatoes,2008,2274.0,15396.14,21.72,ECU
7927,Potatoes,2008,2274.0,15396.14,17.16,ECU
7928,Potatoes,2008,2274.0,15396.14,21.89,ECU
7929,"Rice, paddy",2008,2274.0,15396.14,21.72,ECU
7930,"Rice, paddy",2008,2274.0,15396.14,17.16,ECU
7931,"Rice, paddy",2008,2274.0,15396.14,21.89,ECU
7932,Sorghum,2008,2274.0,15396.14,21.72,ECU
7933,Sorghum,2008,2274.0,15396.14,17.16,ECU
7934,Sorghum,2008,2274.0,15396.14,21.89,ECU
7935,Soybeans,2008,2274.0,15396.14,21.72,ECU
7936,Soybeans,2008,2274.0,15396.14,17.16,ECU
7937,Soybeans,2008,2274.0,15396.14,21.89,ECU
7938,Sweet potatoes,2008,2274.0,15396.14,21.72,ECU
7939,Sweet potatoes,2008,2274.0,15396.14,17.16,ECU
7940,Sweet potatoes,2008,2274.0,15396.14,21.89,ECU
7941,Wheat,2008,2274.0,15396.14,21.72,ECU
7942,Wheat,2008,2274.0,15396.14,17.16,ECU
7943,Wheat,2008,2274.0,15396.14,21.89,ECU
7944,Cassava,2009,2274.0,9666.87,22.01,ECU
7945,Cassava,2009,2274.0,9666.87,17.76,ECU
7946,Cassava,2009,2274.0,9666.87,22.42,ECU
7947,Maize,2009,2274.0,9666.87,22.01,ECU
7948,Maize,2009,2274.0,9666.87,17.76,ECU
7949,Maize,2009,2274.0,9666.87,22.42,ECU
7950,Plantains and others,2009,2274.0,9666.87,22.01,ECU
7951,Plantains and others,2009,2274.0,9666.87,17.76,ECU
7952,Plantains and others,2009,2274.0,9666.87,22.42,ECU
7953,Potatoes,2009,2274.0,9666.87,22.01,ECU
7954,Potatoes,2009,2274.0,9666.87,17.76,ECU
7955,Potatoes,2009,2274.0,9666.87,22.42,ECU
7956,"Rice, paddy",2009,2274.0,9666.87,22.01,ECU
7957,"Rice, paddy",2009,2274.0,9666.87,17.76,ECU
7958,"Rice, paddy",2009,2274.0,9666.87,22.42,ECU
7959,Sorghum,2009,2274.0,9666.87,22.01,ECU
7960,Sorghum,2009,2274.0,9666.87,17.76,ECU
7961,Sorghum,2009,2274.0,9666.87,22.42,ECU
7962,Soybeans,2009,2274.0,9666.87,22.01,ECU
7963,Soybeans,2009,2274.0,9666.87,17.76,ECU
7964,Soybeans,2009,2274.0,9666.87,22.42,ECU
7965,Sweet potatoes,2009,2274.0,9666.87,22.01,ECU
7966,Sweet potatoes,2009,2274.0,9666.87,17.76,ECU
7967,Sweet potatoes,2009,2274.0,9666.87,22.42,ECU
7968,Wheat,2009,2274.0,9666.87,22.01,ECU
7969,Wheat,2009,2274.0,9666.87,17.76,ECU
7970,Wheat,2009,2274.0,9666.87,22.42,ECU
7971,Cassava,2010,2274.0,31637.12,21.98,ECU
7972,Cassava,2010,2274.0,31637.12,17.79,ECU
7973,Cassava,2010,2274.0,31637.12,22.3,ECU
7974,Maize,2010,2274.0,31637.12,21.98,ECU
7975,Maize,2010,2274.0,31637.12,17.79,ECU
7976,Maize,2010,2274.0,31637.12,22.3,ECU
7977,Plantains and others,2010,2274.0,31637.12,21.98,ECU
7978,Plantains and others,2010,2274.0,31637.12,17.79,ECU
7979,Plantains and others,2010,2274.0,31637.12,22.3,ECU
7980,Potatoes,2010,2274.0,31637.12,21.98,ECU
7981,Potatoes,2010,2274.0,31637.12,17.79,ECU
7982,Potatoes,2010,2274.0,31637.12,22.3,ECU
7983,"Rice, paddy",2010,2274.0,31637.12,21.98,ECU
7984,"Rice, paddy",2010,2274.0,31637.12,17.79,ECU
7985,"Rice, paddy",2010,2274.0,31637.12,22.3,ECU
7986,Sorghum,2010,2274.0,31637.12,21.98,ECU
7987,Sorghum,2010,2274.0,31637.12,17.79,ECU
7988,Sorghum,2010,2274.0,31637.12,22.3,ECU
7989,Soybeans,2010,2274.0,31637.12,21.98,ECU
7990,Soybeans,2010,2274.0,31637.12,17.79,ECU
7991,Soybeans,2010,2274.0,31637.12,22.3,ECU
7992,Sweet potatoes,2010,2274.0,31637.12,21.98,ECU
7993,Sweet potatoes,2010,2274.0,31637.12,17.79,ECU
7994,Sweet potatoes,2010,2274.0,31637.12,22.3,ECU
7995,Wheat,2010,2274.0,31637.12,21.98,ECU
7996,Wheat,2010,2274.0,31637.12,17.79,ECU
7997,Wheat,2010,2274.0,31637.12,22.3,ECU
7998,Cassava,2011,2274.0,17529.44,21.78,ECU
7999,Cassava,2011,2274.0,17529.44,17.42,ECU
8000,Cassava,2011,2274.0,17529.44,22.11,ECU
8001,Maize,2011,2274.0,17529.44,21.78,ECU
8002,Maize,2011,2274.0,17529.44,17.42,ECU
8003,Maize,2011,2274.0,17529.44,22.11,ECU
8004,Plantains and others,2011,2274.0,17529.44,21.78,ECU
8005,Plantains and others,2011,2274.0,17529.44,17.42,ECU
8006,Plantains and others,2011,2274.0,17529.44,22.11,ECU
8007,Potatoes,2011,2274.0,17529.44,21.78,ECU
8008,Potatoes,2011,2274.0,17529.44,17.42,ECU
8009,Potatoes,2011,2274.0,17529.44,22.11,ECU
8010,"Rice, paddy",2011,2274.0,17529.44,21.78,ECU
8011,"Rice, paddy",2011,2274.0,17529.44,17.42,ECU
8012,"Rice, paddy",2011,2274.0,17529.44,22.11,ECU
8013,Sorghum,2011,2274.0,17529.44,21.78,ECU
8014,Sorghum,2011,2274.0,17529.44,17.42,ECU
8015,Sorghum,2011,2274.0,17529.44,22.11,ECU
8016,Soybeans,2011,2274.0,17529.44,21.78,ECU
8017,Soybeans,2011,2274.0,17529.44,17.42,ECU
8018,Soybeans,2011,2274.0,17529.44,22.11,ECU
8019,Sweet potatoes,2011,2274.0,17529.44,21.78,ECU
8020,Sweet potatoes,2011,2274.0,17529.44,17.42,ECU
8021,Sweet potatoes,2011,2274.0,17529.44,22.11,ECU
8022,Wheat,2011,2274.0,17529.44,21.78,ECU
8023,Wheat,2011,2274.0,17529.44,17.42,ECU
8024,Wheat,2011,2274.0,17529.44,22.11,ECU
8025,Cassava,2012,2274.0,11469.74,21.86,ECU
8026,Cassava,2012,2274.0,11469.74,17.46,ECU
8027,Cassava,2012,2274.0,11469.74,22.16,ECU
8028,Maize,2012,2274.0,11469.74,21.86,ECU
8029,Maize,2012,2274.0,11469.74,17.46,ECU
8030,Maize,2012,2274.0,11469.74,22.16,ECU
8031,Plantains and others,2012,2274.0,11469.74,21.86,ECU
8032,Plantains and others,2012,2274.0,11469.74,17.46,ECU
8033,Plantains and others,2012,2274.0,11469.74,22.16,ECU
8034,Potatoes,2012,2274.0,11469.74,21.86,ECU
8035,Potatoes,2012,2274.0,11469.74,17.46,ECU
8036,Potatoes,2012,2274.0,11469.74,22.16,ECU
8037,"Rice, paddy",2012,2274.0,11469.74,21.86,ECU
8038,"Rice, paddy",2012,2274.0,11469.74,17.46,ECU
8039,"Rice, paddy",2012,2274.0,11469.74,22.16,ECU
8040,Sorghum,2012,2274.0,11469.74,21.86,ECU
8041,Sorghum,2012,2274.0,11469.74,17.46,ECU
8042,Sorghum,2012,2274.0,11469.74,22.16,ECU
8043,Soybeans,2012,2274.0,11469.74,21.86,ECU
8044,Soybeans,2012,2274.0,11469.74,17.46,ECU
8045,Soybeans,2012,2274.0,11469.74,22.16,ECU
8046,Sweet potatoes,2012,2274.0,11469.74,21.86,ECU
8047,Sweet potatoes,2012,2274.0,11469.74,17.46,ECU
8048,Sweet potatoes,2012,2274.0,11469.74,22.16,ECU
8049,Wheat,2012,2274.0,11469.74,21.86,ECU
8050,Wheat,2012,2274.0,11469.74,17.46,ECU
8051,Wheat,2012,2274.0,11469.74,22.16,ECU
8052,Cassava,2013,2274.0,6471.77,21.69,ECU
8053,Cassava,2013,2274.0,6471.77,17.28,ECU
8054,Cassava,2013,2274.0,6471.77,21.94,ECU
8055,Maize,2013,2274.0,6471.77,21.69,ECU
8056,Maize,2013,2274.0,6471.77,17.28,ECU
8057,Maize,2013,2274.0,6471.77,21.94,ECU
8058,Plantains and others,2013,2274.0,6471.77,21.69,ECU
8059,Plantains and others,2013,2274.0,6471.77,17.28,ECU
8060,Plantains and others,2013,2274.0,6471.77,21.94,ECU
8061,Potatoes,2013,2274.0,6471.77,21.69,ECU
8062,Potatoes,2013,2274.0,6471.77,17.28,ECU
8063,Potatoes,2013,2274.0,6471.77,21.94,ECU
